,time,latitude,longitude,adt,sla,ugos,ugosa,vgos,vgosa,State,year
130,1993-12-31 00:00:00,25.875,-81.625,0.1384,-0.0802,0.0244,-0.0219,0.0703,-0.0279,FL,1993
131,1993-12-31 00:00:00,25.875,-80.125,0.1691,0.0272,0.1014,0.0167,0.6828,-0.045,FL,1993
132,1993-12-31 00:00:00,25.875,-79.875,0.2805,0.0064,0.1848,0.0462,1.1586,-0.1273,FL,1993
133,1993-12-31 00:00:00,26.125,-97.125,0.2251,-0.0077,0.1266,0.1033,-0.0551,-0.0281,TX,1993
134,1993-12-31 00:00:00,26.125,-96.875,0.1988,-0.0239,0.1122,0.087,-0.2136,-0.1622,TX,1993
135,1993-12-31 00:00:00,26.125,-96.625,0.1591,-0.0552,0.0782,0.0568,-0.218,-0.188,TX,1993
136,1993-12-31 00:00:00,26.125,-96.375,0.1294,-0.0851,0.066,0.0425,-0.1928,-0.204,TX,1993
137,1993-12-31 00:00:00,26.125,-96.125,0.0985,-0.1212,0.0316,-0.0085,-0.1618,-0.208,TX,1993
138,1993-12-31 00:00:00,26.125,-95.875,0.0892,-0.1396,0.0162,-0.0355,0.08,0.0313,TX,1993
139,1993-12-31 00:00:00,26.125,-95.625,0.1309,-0.1052,0.0348,-0.0146,0.4019,0.3715,TX,1993
140,1993-12-31 00:00:00,26.125,-95.375,0.2106,-0.0298,0.1776,0.142,0.5203,0.5066,TX,1993
141,1993-12-31 00:00:00,26.125,-95.125,0.283,0.0403,0.1664,0.1494,0.2849,0.2792,TX,1993
142,1993-12-31 00:00:00,26.125,-94.875,0.3092,0.0662,0.1097,0.1054,0.1301,0.1367,TX,1993
143,1993-12-31 00:00:00,26.125,-94.625,0.336,0.0955,0.0766,0.0719,0.1525,0.1809,TX,1993
144,1993-12-31 00:00:00,26.125,-94.375,0.3551,0.1196,0.1019,0.0891,0.0868,0.1175,TX,1993
145,1993-12-31 00:00:00,26.125,-94.125,0.3638,0.1314,0.0679,0.0531,0.0032,0.015,TX,1993
146,1993-12-31 00:00:00,26.125,-93.875,0.3553,0.1218,0.0875,0.0782,-0.1316,-0.1381,TX,1993
147,1993-12-31 00:00:00,26.125,-93.625,0.3298,0.093,0.0925,0.0822,-0.1457,-0.167,TX,1993
148,1993-12-31 00:00:00,26.125,-87.625,0.1764,-0.3588,0.315,0.1599,0.185,0.0687,FL,1993
149,1993-12-31 00:00:00,26.125,-87.375,0.2443,-0.3059,0.6017,0.3916,0.5124,0.463,FL,1993
