geoid,geoName,year,sector,establishments,employment,wages,gdp
37000,North Carolina,2020,Professional and Business Services,5998,43769,2466315812,4327602846
37000,North Carolina,2016,Public Administration,521,32080,1557756701,10650510752
72000,Puerto Rico,2016,Construction,1286,17422,401701480,0
72000,Puerto Rico,2016,Financial Activities,2605,37942,1487885133,0
72000,Puerto Rico,2018,Education and Health Services,6277,103509,3136616408,0
72000,Puerto Rico,2019,Education and Health Services,6439,105340,3207968447,0
72000,Puerto Rico,2018,Information,439,13520,546042455,0
72000,Puerto Rico,2020,Leisure and Hospitality,3956,55142,791606976,0
72000,Puerto Rico,2016,Other Services,2948,12008,248709927,0
72000,Puerto Rico,2018,Professional and Business Services,5356,106189,3176890291,0
72000,Puerto Rico,2019,Professional and Business Services,5718,106389,3195587566,0
72000,Puerto Rico,2018,Public Administration,902,70137,2624529136,0
72000,Puerto Rico,2018,Trade, Transportation, and Utilitie,8759,140272
72000,Puerto Rico,2019,All Industries Total,35752,700222,20463911658,0
72000,Puerto Rico,2018,Construction,1396,19838,698843999,0
72000,Puerto Rico,2016,Information,462,14297,575621595,0
72000,Puerto Rico,2019,Leisure and Hospitality,4010,67256,1040676040,0
72000,Puerto Rico,2018,Manufacturing,1267,44248,1738441662,0
72000,Puerto Rico,2020,Professional and Business Services,5769,100969,3175226137,0
72000,Puerto Rico,2016,Public Administration,948,75767,2716571375,0
72000,Puerto Rico,2016,Trade Transportation and Utilities,9094,144705,3699374286,0
72000,Puerto Rico,2017,All Industries Total,34657,695792,19710641845,0
72000,Puerto Rico,2020,Construction,1521,19337,473331207,0
72000,Puerto Rico,2019,Financial Activities,2633,39189,1606735954,0
72000,Puerto Rico,2017,Leisure and Hospitality,3785,66742,983965050,0
72000,Puerto Rico,2020,Manufacturing,1291,45000,1725317337,0
72000,Puerto Rico,2020,Natural Resources and Mining,704,5930,81924603,0
72000,Puerto Rico,2019,Other Services,2867,12409,274137866,0
72000,Puerto Rico,2016,Manufacturing,1282,46567,1748849953,0
72000,Puerto Rico,2016,Natural Resources and Mining,821,7519,81281704,0
72000,Puerto Rico,2018,Natural Resources and Mining,749,6189,73512967,0
72000,Puerto Rico,2018,All Industries Total,34138,688909,20429429454,0
72000,Puerto Rico,2020,Financial Activities,2653,39683,1684687548,0
72000,Puerto Rico,2017,Information,461,13830,566701673,0
72000,Puerto Rico,2019,Manufacturing,1320,45775,1748836645,0
72000,Puerto Rico,2019,Natural Resources and Mining,732,6161,77796086,0
72000,Puerto Rico,2016,All Industries Total,34799,712429,20030492275,0
72000,Puerto Rico,2017,Financial Activities,2589,37808,1495855384,0
72000,Puerto Rico,2018,Financial Activities,2564,37337,1535428135,0
72000,Puerto Rico,2017,Education and Health Services,6441,107523,3151285659,0
72000,Puerto Rico,2020,Education and Health Services,6351,98863,3147406900,0
72000,Puerto Rico,2019,Information,435,13322,553738833,0
72000,Puerto Rico,2020,Information,444,12584,553570924,0
72000,Puerto Rico,2017,Other Services,2856,11226,231783383,0
72000,Puerto Rico,2016,Professional and Business Services,5187,98188,2820535396,0
72000,Puerto Rico,2017,Professional and Business Services,5247,99232,2855338921,0
72000,Puerto Rico,2019,Public Administration,889,67562,2545146743,0
72000,Puerto Rico,2020,Public Administration,913,67581,2596832854,0
72000,Puerto Rico,2019,Trade, Transportation, and Utilitie,8992,143881
72000,Puerto Rico,2020,Trade, Transportation, and Utilitie,8851,135660
72000,Puerto Rico,2020,All Industries Total,35187,661496,20143534029,0
25000,Massachusetts,2019,Public Administration,2969,104896,8906168949,47042145108
25000,Massachusetts,2020,Trade, Transportation, and Utilitie,28544,411549
25000,Massachusetts,2017,Construction,15804,123691,9654438118,16206859444
25000,Massachusetts,2020,Financial Activities,14136,178418,30233336544,1.27589E+11
25000,Massachusetts,2019,Information,4299,86166,11062628559,30708417649
25000,Massachusetts,2017,Natural Resources and Mining,735,6395,467512426,899762886.9
25000,Massachusetts,2017,Professional and Business Services,33955,483787,52229916831,87458222641
25000,Massachusetts,2020,Public Administration,2901,109041,9541712355,8268932342
25000,Massachusetts,2019,Trade, Transportation, and Utilitie,29154,453478
25000,Massachusetts,2018,Leisure and Hospitality,16298,307648,9013599373,20358190489
25000,Massachusetts,2018,Manufacturing,4866,171634,16485840683,42226003470
25000,Massachusetts,2020,Manufacturing,4802,168386,17580149412,43462442138
25000,Massachusetts,2016,Public Administration,2821,107454,8217774706,43031456611
